designation,comapany,employeecount,followers,level,totalapplicants,location,industry
Software Engineer - SQL,HMH Tech India,"501-1,000 employees","2,480 followers",Mid-Senior level,"Pune, Maharashtra, India · Reposted 1 day ago · Over 100 applicants","Pune, Maharashtra, India","E-Learning Providers 501-1,000 employees 102 on LinkedIn"
Index Data Research Analyst / Junior Analyst,ISS | Institutional Shareholder Services,"1,001-5,000 employees","69,030 followers","Full-time
Matches your job preferences, job type is Full-time.",Mumbai Metropolitan Region · 2 weeks ago · Over 100 applicants,Mumbai Metropolitan Region,"Financial Services 1,001-5,000 employees 4,586 on LinkedIn"
Software Engineer - Data Scientist,Johnson Controls,"10,001+ employees","1,394,345 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 3 days ago · Over 100 applicants","Pune, Maharashtra, India","Industrial Machinery Manufacturing 10,001+ employees 64,717 on LinkedIn"
Remote Python Solutions Developer,Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.","Delhi, Delhi, India · Reposted 2 days ago · 24 applicants","Delhi, Delhi, India","IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Remote Data Science Analyst,Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Kolkata Area · 4 months ago · 37 applicants,Greater Kolkata Area,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Data Engineer: Data Platforms-AWS,IBM,"10,001+ employees","16,612,648 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 1 week ago · 39 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 308,788 on LinkedIn"
Application Developer: Microsoft Analytics,IBM,"10,001+ employees","16,612,648 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 1 week ago · 55 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 308,788 on LinkedIn"
Python Developer,SAS,"10,001+ employees","885,280 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 8 hours ago · Over 100 applicants","Pune, Maharashtra, India","Software Development 10,001+ employees 16,857 on LinkedIn"
Senior Data Engineer (Remote),Uplers,"1,001-5,000 employees","1,088,646 followers",Remote,"Nagpur, Maharashtra, India · 1 week ago · 8 applicants","Nagpur, Maharashtra, India","IT Services and IT Consulting 1,001-5,000 employees 1,134 on LinkedIn"
Python Developer - Remote,Optical Arc Pvt. Ltd.,11-50 employees,"3,257 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 2 months ago · Over 100 applicants","Pune, Maharashtra, India",IT Services and IT Consulting 11-50 employees 67 on LinkedIn
Site Analytics - Adobe Implementation - Lead Analyst,dentsu,"10,001+ employees","1,294,089 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · 3 weeks ago · 42 applicants","Pune, Maharashtra, India","Advertising Services 10,001+ employees 15,034 on LinkedIn"
Business Intelligence Consultant,NA,NA,NA,"Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 6 days ago · Over 100 applicants","Pune, Maharashtra, India",NA
Software Engineer - Data Scientist,Johnson Controls,"10,001+ employees","1,394,345 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 3 days ago · Over 100 applicants","Pune, Maharashtra, India","Industrial Machinery Manufacturing 10,001+ employees 64,717 on LinkedIn"
Remote Data Science Analyst,Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Chennai Area · 4 months ago · 50 applicants,Greater Chennai Area,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Remote Data Science Analyst,Turing,"501-1,000 employees","357,752 followers","Full-time
Matches your job preferences, job type is Full-time.",Greater Bengaluru Area · Reposted 8 hours ago · Over 100 applicants,Greater Bengaluru Area,"IT Services and IT Consulting 501-1,000 employees 2,056 on LinkedIn"
Data Engineer: Big Data-AWS,IBM,"10,001+ employees","16,612,650 followers","Full-time
Matches your job preferences, job type is Full-time.","Pune, Maharashtra, India · Reposted 1 week ago · 88 applicants","Pune, Maharashtra, India","IT Services and IT Consulting 10,001+ employees 308,788 on LinkedIn"
